iter	Logloss
121	0.496475202
122	0.4963132374
123	0.4961636291
124	0.4959889659
125	0.4958675865
126	0.4955260209
127	0.495341814
128	0.4952530673
129	0.4950294638
130	0.4947206471
131	0.4945876111
132	0.4943968727
133	0.49423429
134	0.4940831869
135	0.4939949564
136	0.4937897299
137	0.4935839314
138	0.4934774839
139	0.4933615061
140	0.4931562064
141	0.4930185457
142	0.4929366157
143	0.4928226533
144	0.4927325993
145	0.4925931747
146	0.4925647272
147	0.4922767206
148	0.4920297684
149	0.4918790173
150	0.4917576611
151	0.4916153221
152	0.4915286382
153	0.491414626
154	0.4912170967
155	0.4911094602
156	0.4909881368
157	0.490914253
158	0.4908390656
159	0.4906784081
160	0.4905757951
161	0.490516433
162	0.4903764373
163	0.4902944643
164	0.4902284456
165	0.4901459558
166	0.4900640757
167	0.4900021248
168	0.4899658488
169	0.4898178636
170	0.4896240331
171	0.4895689466
172	0.4894405583
173	0.4893773274
174	0.4892678267
175	0.4891989875
176	0.4891456166
177	0.4890600465
178	0.4889799704
179	0.4888493895
180	0.4888153654
181	0.4887368597
182	0.4886764557
183	0.4886049901
184	0.4885234169
185	0.4884070802
186	0.4883628083
187	0.4879566636
188	0.4878800999
189	0.4878480738
190	0.4877658577
191	0.4877281139
192	0.4876489861
193	0.4875749509
194	0.4875049064
195	0.4873827264
196	0.4873297087
197	0.4872461269
198	0.487189987
199	0.4870896423
200	0.4870099954
201	0.4869230668
202	0.4865565307
203	0.4863755147
204	0.4862891861
205	0.4862232774
206	0.4861649612
207	0.4858557777
208	0.4858123088
209	0.4857547871
210	0.4856836727
211	0.4855044762
212	0.4854512043
213	0.4853877938
214	0.4853801476
215	0.4853726547
216	0.485286306
217	0.4849856196
218	0.4846569511
219	0.4845845271
220	0.4842849022
221	0.4842779587
222	0.4842414596
223	0.4841726212
224	0.4841206342
225	0.4841047138
226	0.4840640828
227	0.4840192035
228	0.4839524987
229	0.4839465979
230	0.4838980675
231	0.4838469065
232	0.4837787469
233	0.4837128053
234	0.483677748
235	0.4836357964
236	0.4836042148
237	0.4835547836
238	0.4834940764
239	0.4834453094
240	0.4834175714
241	0.4833946636
242	0.4832945104
243	0.4832220982
244	0.482913631
245	0.4828729514
246	0.4824926006
247	0.482463083
248	0.4822514062
249	0.4822018112
250	0.4821713488
251	0.4821381761
252	0.4821209326
253	0.4820736482
254	0.4820017415
255	0.4819492657
256	0.4819213666
257	0.4818926833
258	0.4818736977
259	0.4817813297
260	0.4817353168
261	0.4816797144
262	0.4816693789
263	0.4816109447
264	0.4815341658
265	0.481287888
266	0.4812223801
267	0.4811731573
268	0.4811584362
269	0.4811047408
270	0.4806927287
271	0.4806426931
272	0.4805729754
273	0.4803238321
274	0.4802872835
275	0.4802548741
276	0.4802133321
277	0.4801951127
278	0.480192687
279	0.4799509803
280	0.4798996148
281	0.4798500158
282	0.4798187281
283	0.4794969983
284	0.4791915788
285	0.4791479738
286	0.4787572544
287	0.4787183723
288	0.4787015704
289	0.4784259645
290	0.4783909465
291	0.4783752877
292	0.478344181
293	0.4783391811
294	0.4783011683
295	0.4782417841
296	0.4781913318
297	0.4781708886
298	0.4781322851
299	0.4780619179
300	0.478039832
301	0.4779517753
302	0.4779315728
303	0.4779109648
304	0.4776267938
305	0.4773758079
306	0.4772818716
307	0.4772391353
308	0.4772101706
309	0.4771267468
310	0.4771097237
311	0.4770954497
312	0.4770637441
313	0.4770347482
314	0.4769754352
315	0.4769370352
316	0.4769146555
317	0.4768684995
318	0.4768191209
319	0.4767657755
320	0.476716825
321	0.4767059598
322	0.4766763491
323	0.4766179615
324	0.4765790527
325	0.4765354252
326	0.4765134423
327	0.4765123701
328	0.476291326
329	0.4762157587
330	0.4761911883
331	0.4761576154
332	0.4761253387
333	0.4760727531
334	0.4758138015
335	0.4757636439
336	0.4756128538
337	0.4755748116
338	0.4755531904
339	0.4755202315
340	0.4754992451
341	0.4754791087
342	0.4754192829
343	0.475396098
344	0.4753636156
345	0.4751426033
346	0.475118091
347	0.4750580811
348	0.4749569364
349	0.4749325877
350	0.474849817
351	0.4748181428
352	0.4747733722
353	0.4747055154
354	0.474695581
355	0.4746495199
356	0.4746246745
357	0.4745624993
358	0.4745175692
359	0.4744757476
360	0.474447622
361	0.4744164567
362	0.4744037376
363	0.4743584848
364	0.4741163572
365	0.4740851371
366	0.4740551581
367	0.4739996289
368	0.4739661394
369	0.4736999382
370	0.4736899675
371	0.4736491211
372	0.4736273835
373	0.473586616
374	0.4735533546
375	0.4735301441
376	0.4734714495
377	0.4734499395
378	0.4732211324
379	0.4729792866
380	0.4729535413
381	0.4728050872
382	0.4727979613
383	0.4727533272
384	0.4727446392
385	0.4727147705
386	0.472676805
387	0.472630125
388	0.4726076283
389	0.4724937841
390	0.4724276465
391	0.472388285
392	0.4719597339
393	0.4719300554
394	0.4719122232
395	0.4718838489
396	0.4718362987
397	0.4717945188
398	0.4717723537
399	0.4717178251
400	0.4717087345
401	0.4716870253
402	0.4716759089
403	0.4716449147
404	0.4716304517
405	0.4715920407
406	0.4715334819
407	0.4714323279
408	0.4714316512
409	0.47118831
410	0.4710537351
411	0.4710377034
412	0.471013434
413	0.4709046665
414	0.4708770106
415	0.4708174116
416	0.4708004693
417	0.4707839805
418	0.4707531035
419	0.4707111625
420	0.4706826005
421	0.4706380339
422	0.470594915
423	0.4705172892
424	0.4705026857
425	0.4704355155
426	0.4704190074
427	0.4702591699
428	0.4702395276
429	0.4702124335
430	0.4701924503
431	0.4701765657
432	0.4699648963
433	0.4698702137
434	0.4698697991
435	0.4698447666
436	0.4698057861
437	0.4697895308
438	0.4697698169
439	0.4697392304
440	0.4696328623
441	0.4695336565
442	0.4693100938
443	0.4692713584
444	0.4692549887
445	0.4691090268
446	0.4690628479
447	0.4690354237
448	0.4690216352
449	0.4689949565
450	0.4689518921
451	0.4687653778
452	0.4687545631
453	0.4685971528
454	0.4685615591
455	0.4685534482
456	0.4685230046
457	0.4685040761
458	0.4683162953
459	0.4682957372
460	0.4682483793
461	0.4682081064
462	0.4681764291
463	0.4681377167
464	0.4681051649
465	0.4680827018
466	0.4678652516
467	0.4677605751
468	0.4677371595
469	0.4677199119
470	0.467704896
471	0.4675209359
472	0.4674969516
473	0.4672929116
474	0.4672260295
475	0.4671949359
476	0.4671934917
477	0.4671577053
478	0.4671477662
479	0.4671287212
480	0.4671223794
481	0.4670877821
482	0.4670003696
483	0.4669847989
484	0.4669518979
485	0.4669392199
486	0.4668942921
487	0.4668655898
488	0.4667755586
489	0.4667400027
490	0.4665841156
491	0.4665692927
492	0.4665674056
493	0.4665437118
494	0.4665152761
495	0.4664774556
496	0.4664334888
497	0.4663923384
498	0.4663521608
499	0.4663275746
500	0.466306415
501	0.4661924276
502	0.4660206458
503	0.4660041153
504	0.4659795521
505	0.465968175
506	0.4659447163
507	0.4659166791
508	0.4658898212
509	0.4658749333
510	0.465822223
511	0.4657961563
512	0.4657579445
513	0.4657330128
514	0.4656400906
515	0.4655994896
516	0.4655988787
517	0.4654520645
518	0.4654286685
519	0.4653822552
520	0.4653610422
521	0.4653314876
522	0.4653169038
523	0.46531689
524	0.465278929
525	0.4651561517
526	0.4651210625
527	0.4651033925
528	0.4650798833
529	0.4649178731
530	0.4648869287
531	0.4648782934
532	0.4648571556
533	0.464844587
534	0.4647407722
535	0.4647099519
536	0.4646916817
537	0.4646813537
538	0.4646615768
539	0.4646431089
540	0.4646167679
541	0.464605013
542	0.4646014785
543	0.4645754548
544	0.4645528196
545	0.4645349321
546	0.4645235948
547	0.4645089905
548	0.4644603504
549	0.464447398
550	0.4643923784
551	0.4642469525
552	0.4642352503
553	0.4641881315
554	0.4641813231
555	0.4641440908
556	0.4641268749
557	0.4641185122
558	0.4640782639
559	0.4640546543
560	0.4640184762
561	0.4638936671
562	0.4638521967
563	0.4638293535
564	0.4638033291
565	0.463790532
566	0.4637696026
567	0.4637383339
568	0.4637205419
569	0.4637130669
570	0.4637065878
571	0.4636857617
572	0.4636427865
573	0.4635701627
574	0.4635548427
575	0.4635392517
576	0.4635080029
577	0.4634803376
578	0.4634581248
579	0.4634010335
580	0.4633752313
581	0.4633611107
582	0.4631704846
583	0.4631230234
584	0.4631111958
585	0.463096968
586	0.4630135393
587	0.4629942789
588	0.462980312
589	0.462964844
590	0.4629342144
591	0.4629159896
592	0.4628878505
593	0.4627265025
594	0.4626954125
595	0.462673726
596	0.4626387748
597	0.4626045519
598	0.4625817443
599	0.4625778778
600	0.4625553483
601	0.4625211595
602	0.4624925241
603	0.4623578996
604	0.4623395357
605	0.4620758068
606	0.4620750632
607	0.4620179429
608	0.4620076578
609	0.4619857809
610	0.4619371517
611	0.4619095925
612	0.4618651472
613	0.4617018911
614	0.4616813901
615	0.4616527024
616	0.4615282535
617	0.4615282455
618	0.4615159337
619	0.4614922544
620	0.4614597034
621	0.4613095165
622	0.4612988472
623	0.4612867501
624	0.4612516595
625	0.4612327104
626	0.4612000988
627	0.4611867432
628	0.4611569901
629	0.461150124
630	0.4611271347
631	0.4610868165
632	0.4610617253
633	0.4610519995
634	0.4610125121
635	0.4610001748
636	0.4609785921
637	0.4609649094
638	0.4609351529
639	0.460886679
640	0.4608859184
641	0.4608643992
642	0.4608328725
643	0.4607589289
644	0.4607419001
645	0.4607416946
646	0.4607319609
647	0.4606426832
648	0.460623155
649	0.460611879
650	0.4605506272
651	0.4605425717
652	0.4604939999
653	0.4604409268
654	0.4604182268
655	0.4603454275
656	0.4603079811
657	0.460283549
658	0.460253192
659	0.4602431487
660	0.4602152864
661	0.4601854345
662	0.4601564852
663	0.4601339715
664	0.4601096354
665	0.4600867683
666	0.4600455303
667	0.4600090621
668	0.4599920169
669	0.459975274
670	0.4599558112
671	0.4599428877
672	0.4599224572
673	0.4598855628
674	0.4598667071
675	0.4598346204
676	0.459823126
677	0.459670323
678	0.4596428111
679	0.4596285145
680	0.4595760919
681	0.4595683371
682	0.4595316544
683	0.4595120818
684	0.4594681966
685	0.4594381401
686	0.4594261658
687	0.4594089759
688	0.4593787777
689	0.4593512706
690	0.4593221526
691	0.4591200633
692	0.4590565115
693	0.459046016
694	0.4590202762
695	0.4590072143
696	0.4589797853
697	0.4589256475
698	0.4589212817
699	0.4588617247
700	0.4588616906
701	0.4588395974
702	0.4588328492
703	0.4587917935
704	0.4586421136
705	0.4586289622
706	0.4585916445
707	0.4585584682
708	0.4584978823
709	0.4584907641
710	0.4584842794
711	0.458456239
712	0.4584368641
713	0.4584181379
714	0.4584030571
715	0.4583773837
716	0.4583551396
717	0.4583471811
718	0.4583074558
719	0.458277034
720	0.4582652026
721	0.4582193506
722	0.4582115669
723	0.4581205194
724	0.4581065253
725	0.458088101
726	0.4580530269
727	0.457980588
728	0.4579749813
729	0.4579557516
730	0.4579407561
731	0.4579040956
732	0.45788012
733	0.4578598958
734	0.457827992
735	0.4578116839
736	0.4577939012
737	0.4577268182
738	0.4577031616
739	0.457702988
740	0.457659009
741	0.4575974197
742	0.4574677319
743	0.4574161948
744	0.4573845369
745	0.4573630329
746	0.4573399157
747	0.4573137514
748	0.457295703
749	0.4572670452
750	0.4572600006
751	0.4572413353
752	0.4572377907
753	0.4572117037
754	0.4571854542
755	0.4571777278
756	0.4571484471
757	0.4571156647
758	0.4571052133
759	0.4570906355
760	0.4570708208
761	0.4570505187
762	0.4569868792
763	0.456954555
764	0.4569277134
765	0.4568948376
766	0.4568822372
767	0.4568602972
768	0.4568208913
769	0.4567792849
770	0.4567570958
771	0.4567210225
772	0.4567050273
773	0.4566328842
774	0.4566052197
775	0.456586856
776	0.4565699265
777	0.456545519
778	0.4564986034
779	0.4564679351
780	0.456445654
781	0.4563992412
782	0.4562832225
783	0.4562702841
784	0.4562434284
785	0.4561997387
786	0.4561584554
787	0.4561512138
788	0.4561332653
789	0.4561139839
790	0.4560997749
791	0.4560595082
792	0.4560395462
793	0.4560083304
794	0.4559615681
795	0.4559517992
796	0.4559467189
797	0.4559272924
798	0.455898295
799	0.4557436556
800	0.4557061197
801	0.4556840394
802	0.4556696128
803	0.4556466158
804	0.455608398
805	0.4555962254
806	0.4555960113
807	0.4555716535
808	0.4555123703
809	0.4554858908
810	0.4554596992
811	0.4554441309
812	0.4554148044
813	0.4554019764
814	0.455341008
815	0.4553112429
816	0.4551993171
817	0.4551481715
818	0.4551178006
819	0.4550940007
820	0.4550683066
821	0.4550281239
822	0.455020709
823	0.4549960562
824	0.4549537425
825	0.4549320408
826	0.454920083
827	0.4548615377
828	0.454853003
829	0.4548404405
830	0.4548064992
831	0.4547679879
832	0.4546961433
833	0.4546910173
834	0.4546782625
835	0.454655797
836	0.4546053396
837	0.4545751706
838	0.4545485582
839	0.4545372292
840	0.4545264702
841	0.4544892137
842	0.4544775961
843	0.4544560929
844	0.45443942
845	0.45434314
846	0.4543199205
847	0.454309859
848	0.4542870897
849	0.4542499661
850	0.4542159845
851	0.454195117
852	0.4541880636
853	0.4541579868
854	0.4541408683
855	0.4540138843
856	0.4539792681
857	0.4539496342
858	0.4538516353
859	0.4538404149
860	0.4537983606
861	0.4536463071
862	0.4536308625
863	0.45361381
864	0.4536035219
865	0.4535834926
866	0.4535512131
867	0.4535395745
868	0.4535203684
869	0.4534852339
870	0.4534709936
871	0.453434142
872	0.4534084017
873	0.4533957437
874	0.4533830556
875	0.4533746853
876	0.4533418753
877	0.4533157696
878	0.4532715171
879	0.4532574617
880	0.4532420746
881	0.4532015748
882	0.4531954904
883	0.4531593353
884	0.4531545513
885	0.4531225854
886	0.4530808599
887	0.4530595038
888	0.4530225663
889	0.4530044135
890	0.4529947723
891	0.4528798018
892	0.4528609102
893	0.4527691054
894	0.4527413468
895	0.4527079296
896	0.452527009
897	0.4525075157
898	0.4524921895
899	0.4524535344
900	0.4524439098
901	0.4524149903
902	0.4523864868
903	0.4523736209
904	0.4523614858
905	0.4523518187
906	0.4523399099
907	0.452324761
908	0.4522965402
909	0.4522716933
910	0.452258825
911	0.4522300828
912	0.4522044425
913	0.4521997285
914	0.4521687213
915	0.4521426466
916	0.4521057962
917	0.4520556242
918	0.4520437637
919	0.4520395754
920	0.4520011088
921	0.451824907
922	0.4517858082
923	0.4517305142
924	0.451667767
925	0.4516336237
926	0.4516140473
927	0.4516055333
928	0.4516002529
929	0.451569702
930	0.4515489702
931	0.4515406409
932	0.4515326636
933	0.4515197624
934	0.451478857
935	0.4514663514
936	0.4513539614
937	0.4513435227
938	0.4513316556
939	0.4513028054
940	0.4512943034
941	0.4512828758
942	0.4512682287
943	0.4512530518
944	0.451193383
945	0.4510940787
946	0.451069784
947	0.4510311536
948	0.4510299685
949	0.4510182542
950	0.4509245919
951	0.4508958368
952	0.4508781732
953	0.4508362242
954	0.4508288846
955	0.4508244487
956	0.4507914301
957	0.4507753705
958	0.450760951
959	0.4507512693
960	0.4507400258
961	0.4507265905
962	0.450713887
963	0.4506759572
964	0.4506637266
965	0.4506613176
966	0.4506558621
967	0.4506427348
968	0.4506051607
969	0.4505903891
970	0.4504832645
971	0.450476588
972	0.4503226437
973	0.4502910978
974	0.4502613609
975	0.450250043
976	0.4502479663
977	0.4502000308
978	0.4501527978
979	0.4501406111
980	0.4501167745
981	0.4500688843
982	0.4500536339
983	0.4500500079
984	0.4499602267
985	0.4498961678
986	0.4497915148
987	0.4497572816
988	0.4497267002
989	0.4496688535
990	0.4496573788
991	0.4496386303
992	0.4496267892
993	0.4496216758
994	0.4495467684
995	0.4495386426
996	0.4494755711
997	0.4494397643
998	0.4492709169
999	0.4492266312
